task_name,prompt_median_length,tokenizer
learned_hands_benefits,2408.5,meta-llama/Llama-2-7b-hf
learned_hands_business,1746.5,meta-llama/Llama-2-7b-hf
learned_hands_consumer,1745.0,meta-llama/Llama-2-7b-hf
learned_hands_courts,2906.5,meta-llama/Llama-2-7b-hf
learned_hands_crime,2038.5,meta-llama/Llama-2-7b-hf
learned_hands_divorce,2881.0,meta-llama/Llama-2-7b-hf
learned_hands_domestic_violence,3040.0,meta-llama/Llama-2-7b-hf
learned_hands_education,2035.5,meta-llama/Llama-2-7b-hf
learned_hands_employment,2959.0,meta-llama/Llama-2-7b-hf
learned_hands_estates,1883.5,meta-llama/Llama-2-7b-hf
learned_hands_family,2416.0,meta-llama/Llama-2-7b-hf
learned_hands_health,1826.5,meta-llama/Llama-2-7b-hf
learned_hands_housing,2670.0,meta-llama/Llama-2-7b-hf
learned_hands_immigration,1297.5,meta-llama/Llama-2-7b-hf
learned_hands_torts,1454.5,meta-llama/Llama-2-7b-hf
learned_hands_traffic,1818.5,meta-llama/Llama-2-7b-hf
consumer_contracts_qa,643.0,meta-llama/Llama-2-7b-hf
personal_jurisdiction,605.5,meta-llama/Llama-2-7b-hf
ucc_v_common_law,411.5,meta-llama/Llama-2-7b-hf
hearsay,282.0,meta-llama/Llama-2-7b-hf
contract_nli_permissible_development_of_similar_information,894.5,meta-llama/Llama-2-7b-hf
opp115_user_choice_control,469.0,meta-llama/Llama-2-7b-hf
textualism_tool_plain,1174.0,meta-llama/Llama-2-7b-hf
textualism_tool_dictionaries,1504.0,meta-llama/Llama-2-7b-hf
function_of_decision_section,746.0,meta-llama/Llama-2-7b-hf
oral_argument_question_purpose,683.5,meta-llama/Llama-2-7b-hf
canada_tax_court_outcomes,220.0,meta-llama/Llama-2-7b-hf
ssla_plaintiff,2556.0,meta-llama/Llama-2-7b-hf
cuad_governing_law,541.0,meta-llama/Llama-2-7b-hf
cuad_insurance,589.0,meta-llama/Llama-2-7b-hf
cuad_no-solicit_of_employees,1048.0,meta-llama/Llama-2-7b-hf
successor_liability,642.0,meta-llama/Llama-2-7b-hf
cuad_affiliate_license-licensee,999.0,meta-llama/Llama-2-7b-hf
cuad_affiliate_license-licensor,1207.0,meta-llama/Llama-2-7b-hf
cuad_change_of_control,626.0,meta-llama/Llama-2-7b-hf
cuad_covenant_not_to_sue,637.5,meta-llama/Llama-2-7b-hf
cuad_irrevocable_or_perpetual_license,1305.0,meta-llama/Llama-2-7b-hf
cuad_most_favored_nation,550.0,meta-llama/Llama-2-7b-hf
cuad_no-solicit_of_customers,847.5,meta-llama/Llama-2-7b-hf
cuad_non-compete,888.0,meta-llama/Llama-2-7b-hf
cuad_non-disparagement,499.0,meta-llama/Llama-2-7b-hf
cuad_price_restrictions,708.5,meta-llama/Llama-2-7b-hf
cuad_third_party_beneficiary,612.5,meta-llama/Llama-2-7b-hf
maud_specific_performance,399.5,meta-llama/Llama-2-7b-hf
